;<TICKER>;<DATE>;<OPEN>;<CLOSE>
0;AFKS;2007-12-12;43.0;41.449
1;AFKS;2007-12-13;41.2;40.896
2;AFKS;2007-12-14;40.2;41.797
3;AFKS;2007-12-17;41.89;41.9
4;AFKS;2007-12-18;41.001;41.4
5;AFKS;2007-12-19;41.79;41.6
6;AFKS;2007-12-20;42.0;41.65
7;AFKS;2007-12-21;41.665;41.35
8;AFKS;2007-12-24;41.699;41.21
9;AFKS;2007-12-25;41.18;40.7
10;AFKS;2007-12-26;40.68;40.62
11;AFKS;2007-12-27;40.5;41.35
12;AFKS;2007-12-28;41.001;40.8
13;AFKS;2008-01-09;41.26;41.55
14;AFKS;2008-01-10;41.55;42.34
15;AFKS;2008-01-11;42.35;46.2
16;AFKS;2008-01-14;46.2;44.75
17;AFKS;2008-01-15;45.11;44.6
18;AFKS;2008-01-16;44.5;43.0
19;AFKS;2008-01-17;42.51;42.499
20;AFKS;2008-01-18;42.309;42.0
21;AFKS;2008-01-21;41.85;40.0
22;AFKS;2008-01-22;38.51;39.7
23;AFKS;2008-01-23;40.949;38.0
24;AFKS;2008-01-24;39.66;40.2
25;AFKS;2008-01-25;41.49;41.4
26;AFKS;2008-01-28;40.49;40.3
27;AFKS;2008-01-29;41.2;40.2
28;AFKS;2008-01-30;39.8;39.998
29;AFKS;2008-01-31;40.0;38.699
30;AFKS;2008-02-04;40.5;40.593
31;AFKS;2008-02-05;40.598;39.687
32;AFKS;2008-02-06;38.9;39.6
33;AFKS;2008-02-07;39.94;39.46
34;AFKS;2008-02-08;39.001;38.2
35;AFKS;2008-02-10;39.487;39.699
36;AFKS;2008-02-11;38.03;4.631
37;AFKS;2008-02-12;38.46;40.277
38;AFKS;2008-02-13;40.97;40.601
39;AFKS;2008-02-14;41.0;40.0
40;AFKS;2008-02-15;39.01;39.75
41;AFKS;2008-02-18;40.65;40.0
42;AFKS;2008-02-19;40.0;39.95
43;AFKS;2008-02-20;40.0;39.9
44;AFKS;2008-02-21;40.5;4.67
45;AFKS;2008-02-22;39.11;39.595
46;AFKS;2008-02-26;39.595;39.5
47;AFKS;2008-02-27;39.52;39.0
48;AFKS;2008-02-28;38.502;38.7
49;AFKS;2008-02-29;39.299;38.2
50;AFKS;2008-03-04;38.0;38.075
51;AFKS;2008-03-05;38.69;37.95
52;AFKS;2008-03-06;38.02;38.225
53;AFKS;2008-03-07;37.99;37.3
54;AFKS;2008-03-11;37.11;37.0
55;AFKS;2008-03-12;37.111;36.697
56;AFKS;2008-03-13;36.7;36.75
57;AFKS;2008-03-14;36.71;36.997
58;AFKS;2008-03-17;36.6;35.522
59;AFKS;2008-03-18;35.987;35.2
60;AFKS;2008-03-19;35.878;34.745
61;AFKS;2008-03-20;34.79;34.4
62;AFKS;2008-03-21;34.765;34.2
63;AFKS;2008-03-24;33.55;34.85
64;AFKS;2008-03-25;34.413;34.2
65;AFKS;2008-03-26;34.548;33.6
66;AFKS;2008-03-27;33.85;34.0
67;AFKS;2008-03-28;34.363;33.95
68;AFKS;2008-03-30;38.0;38.0
69;AFKS;2008-03-31;34.0;33.75
70;AFKS;2008-04-04;33.967;33.8
71;AFKS;2008-04-07;33.6;34.2
72;AFKS;2008-04-08;34.4;33.669
73;AFKS;2008-04-09;33.8;33.512
74;AFKS;2008-04-10;34.095;33.41
75;AFKS;2008-04-11;33.739;33.5
76;AFKS;2008-04-14;33.333;32.881
77;AFKS;2008-04-15;33.0;33.0
78;AFKS;2008-04-16;33.33;33.375
79;AFKS;2008-04-17;33.081;32.0
80;AFKS;2008-04-18;32.118;32.385
81;AFKS;2008-04-20;34.27;33.909
82;AFKS;2008-04-21;32.385;32.45
83;AFKS;2008-04-22;32.764;31.984
84;AFKS;2008-04-23;32.118;31.656
85;AFKS;2008-04-24;31.95;31.62
86;AFKS;2008-04-25;31.863;31.38
87;AFKS;2008-04-28;31.031;31.36
88;AFKS;2008-04-29;31.213;31.79
89;AFKS;2008-04-30;33.978;31.5
90;AFKS;2008-05-04;32.3;32.2
91;AFKS;2008-05-05;32.01;32.0
92;AFKS;2008-05-06;31.601;31.65
93;AFKS;2008-05-07;31.543;31.7
94;AFKS;2008-05-08;31.51;31.6
95;AFKS;2008-05-12;32.0;31.898
96;AFKS;2008-05-13;32.178;31.94
97;AFKS;2008-05-14;32.2;33.3
98;AFKS;2008-05-15;33.59;32.96
99;AFKS;2008-05-16;33.35;33.3
100;AFKS;2008-05-19;33.399;33.77
101;AFKS;2008-05-20;33.889;33.333
102;AFKS;2008-05-21;33.29;33.5
103;AFKS;2008-05-22;33.699;33.98
104;AFKS;2008-05-23;34.25;33.75
105;AFKS;2008-05-26;33.45;33.5
106;AFKS;2008-05-27;33.698;32.8
107;AFKS;2008-05-28;32.998;34.5
108;AFKS;2008-05-29;34.551;34.495
109;AFKS;2008-05-30;34.299;35.8
110;AFKS;2008-06-04;34.66;33.8
111;AFKS;2008-06-05;33.71;34.4
112;AFKS;2008-06-06;34.451;35.2
113;AFKS;2008-06-07;34.462;35.799
114;AFKS;2008-06-09;35.675;36.5
115;AFKS;2008-06-10;36.01;36.029
116;AFKS;2008-06-11;35.805;36.1
117;AFKS;2008-06-16;36.3;36.188
118;AFKS;2008-06-17;36.0;36.4
119;AFKS;2008-06-18;36.4;36.023
120;AFKS;2008-06-19;36.297;35.57
121;AFKS;2008-06-20;35.35;35.055
122;AFKS;2008-06-23;35.055;34.007
123;AFKS;2008-06-24;34.324;33.607
124;AFKS;2008-06-25;33.301;33.5
125;AFKS;2008-06-26;33.6;34.2
126;AFKS;2008-06-27;33.9;35.099
127;AFKS;2008-06-30;34.899;34.349
128;AFKS;2008-07-04;31.5;29.998
129;AFKS;2008-07-07;30.27;30.67
130;AFKS;2008-07-08;30.4;30.172
131;AFKS;2008-07-09;30.887;30.6
132;AFKS;2008-07-10;33.75;30.31
133;AFKS;2008-07-11;30.3;29.8
134;AFKS;2008-07-14;30.198;30.2
135;AFKS;2008-07-15;29.753;29.7
136;AFKS;2008-07-16;29.589;29.9
137;AFKS;2008-07-17;30.35;30.87
138;AFKS;2008-07-18;30.99;29.8
139;AFKS;2008-07-20;32.98;32.2
140;AFKS;2008-07-21;29.812;29.799
141;AFKS;2008-07-22;29.787;30.0
142;AFKS;2008-07-23;29.999;30.049
143;AFKS;2008-07-24;30.297;29.652
144;AFKS;2008-07-25;29.493;27.899
145;AFKS;2008-07-28;28.001;27.2
146;AFKS;2008-07-29;27.4;27.7
147;AFKS;2008-07-30;32.3;28.15
148;AFKS;2008-07-31;27.901;27.21
149;AFKS;2008-08-04;27.2;26.569
150;AFKS;2008-08-05;26.556;25.999
151;AFKS;2008-08-06;26.89;26.599
152;AFKS;2008-08-07;26.64;27.6
153;AFKS;2008-08-08;27.999;26.4
154;AFKS;2008-08-10;27.0;27.0
155;AFKS;2008-08-11;25.3;27.0
156;AFKS;2008-08-12;26.5;27.274
157;AFKS;2008-08-13;26.503;27.1
158;AFKS;2008-08-14;27.8;27.648
159;AFKS;2008-08-15;27.988;27.986
160;AFKS;2008-08-18;27.3;28.9
161;AFKS;2008-08-19;27.867;27.5
162;AFKS;2008-08-20;27.777;27.801
163;AFKS;2008-08-21;28.359;27.254
164;AFKS;2008-08-22;26.683;26.85
165;AFKS;2008-08-25;26.524;25.5
166;AFKS;2008-08-26;25.501;27.489
167;AFKS;2008-08-27;26.8;26.5
168;AFKS;2008-08-28;26.1;26.3
169;AFKS;2008-08-29;26.696;25.25
170;AFKS;2008-09-04;25.254;25.296
171;AFKS;2008-09-05;24.948;23.809
172;AFKS;2008-09-08;24.187;23.656
173;AFKS;2008-09-09;23.013;22.0
174;AFKS;2008-09-10;25.488;19.8
175;AFKS;2008-09-11;20.11;19.01
176;AFKS;2008-09-12;19.578;19.95
177;AFKS;2008-09-15;19.48;18.695
178;AFKS;2008-09-16;18.011;15.1
179;AFKS;2008-09-17;15.541;14.5
180;AFKS;2008-09-19;16.643;17.0
181;AFKS;2008-09-20;26.49;26.13
182;AFKS;2008-09-22;17.98;16.94
183;AFKS;2008-09-23;17.2;16.2
184;AFKS;2008-09-24;16.449;18.0
185;AFKS;2008-09-25;17.95;16.96
186;AFKS;2008-09-26;16.96;17.45
187;AFKS;2008-09-29;16.72;17.05
188;AFKS;2008-09-30;26.0;16.6
189;AFKS;2008-10-01;17.046;16.908
190;AFKS;2008-10-02;16.525;17.59
191;AFKS;2008-10-03;16.802;16.4
192;AFKS;2008-10-06;16.3;11.999
193;AFKS;2008-10-07;12.991;11.7
194;AFKS;2008-10-08;10.001;9.0
195;AFKS;2008-10-09;9.946;8.5
196;AFKS;2008-10-13;8.591;7.5
197;AFKS;2008-10-14;9.0;10.506
198;AFKS;2008-10-15;8.5;9.8
199;AFKS;2008-10-17;9.001;7.989
200;AFKS;2008-10-21;8.5;7.695
201;AFKS;2008-10-22;7.011;6.178
202;AFKS;2008-10-23;6.148;4.922
203;AFKS;2008-10-28;4.211;3.6
204;AFKS;2008-10-30;4.122;4.5
205;AFKS;2008-10-31;6.0;6.297
206;AFKS;2008-11-05;7.0;6.8
